manufacturer,model,year,price,odometer,condition,transmission,cylinders,fuel,title_status,drive,size,type,paint_color,state
ford,focus,2010,2200,200000,good,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,red,ny
chevrolet,impala,1963,19000,1555,excellent,automatic,8 cylinders,gas,clean,rwd,compact,wagon,blue,wi
chevrolet,camaro,2000,11000,32000,excellent,automatic,8 cylinders,gas,clean,rwd,mid-size,coupe,grey,md
chevrolet,impala,2013,5500,80250,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,grey,or
bmw,328xi,2009,3995,104481,like new,automatic,6 cylinders,gas,clean,4wd,full-size,sedan,silver,fl
cadillac,srx,2013,17900,43165,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,white,tn
cadillac,cts,2012,12995,49000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,red,ny
chevrolet,impala,2012,7500,73300,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,ia
ford,mustang,1987,15000,97500,excellent,manual,8 cylinders,gas,clean,rwd,full-size,coupe,white,va
ford,transit,2019,29000,10436,good,automatic,6 cylinders,gas,clean,fwd,mid-size,van,white,sc
ford,focus,2015,6995,47330,excellent,automatic,4 cylinders,gas,rebuilt,fwd,mid-size,sedan,black,ia
bmw,x3,2006,7995,141211,excellent,automatic,6 cylinders,gas,clean,4wd,compact,SUV,blue,or
ford,mustang,2015,15266,77121,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,coupe,yellow,or
ford,focus,2007,8999,41140,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,red,ca
ford,mustang,2014,18999,105634,excellent,manual,8 cylinders,gas,clean,rwd,sub-compact,coupe,blue,ca
bmw,335i,2012,13250,89000,like new,automatic,6 cylinders,gas,lien,4wd,full-size,sedan,white,ia
cadillac,srx,2013,12500,99626,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,grey,ca
ford,focus,2013,5999,69000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,black,ia
chevrolet,camaro,2010,10999,119401,excellent,automatic,6 cylinders,gas,clean,rwd,compact,coupe,black,ca
ford,taurus_sel,2005,5900,139909,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,red,or
bmw,3-series,2007,8500,126651,excellent,automatic,6 cylinders,gas,clean,rwd,sub-compact,coupe,grey,ca
ford,focus,2012,3000,170000,excellent,manual,4 cylinders,gas,clean,fwd,compact,sedan,grey,wi
cadillac,srx,2017,15500,61583,like new,automatic,6 cylinders,gas,clean,rwd,full-size,sedan,silver,tn
ford,focus,2013,4500,147895,good,automatic,4 cylinders,gas,clean,fwd,mid-size,hatchback,silver,fl
ford,focus,2011,3900,109000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,grey,ia
ford,mustang,1996,9999,95473,excellent,automatic,8 cylinders,gas,clean,rwd,sub-compact,convertible,grey,ca
cadillac,srx,2014,13500,105853,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,black,ca
audi,a4,2007,3995,184541,excellent,manual,4 cylinders,gas,clean,fwd,mid-size,sedan,silver,fl
bmw,325i,2004,2995,159789,good,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,grey,fl
chevrolet,traverse_ltz,2012,11900,50926,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,black,md
bmw,3-series,2006,3999,171453,excellent,automatic,6 cylinders,gas,clean,rwd,compact,sedan,silver,ca
bmw,328xi,2004,6995,196545,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,convertible,blue,wi
ford,flex,2013,11495,100282,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,wagon,grey,or
bmw,328xi,2009,3995,104481,like new,automatic,6 cylinders,gas,clean,4wd,full-size,sedan,silver,fl
chevrolet,impala,2008,3999,110087,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,grey,va
ford,focus,2016,7995,52571,excellent,automatic,4 cylinders,other,clean,fwd,mid-size,sedan,black,or
bmw,328xi,2014,10995,114459,excellent,automatic,4 cylinders,diesel,clean,rwd,mid-size,sedan,black,or
chevrolet,camaro,2019,24995,23665,like new,automatic,6 cylinders,gas,clean,rwd,mid-size,coupe,black,ca
cadillac,cts,2010,7000,97000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,red,fl
ford,transit,2019,28900,13859,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,md
bmw,335i,2009,9500,113201,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,grey,fl
chevrolet,impala,2011,5995,122496,like new,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,ca
ford,mustang,2014,14500,39000,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,convertible,white,sd
chevrolet,traverse_ltz,2019,25550,31600,like new,automatic,6 cylinders,gas,rebuilt,fwd,full-size,SUV,red,sd
chevrolet,impala,2010,5200,153000,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,ia
ford,taurus_sel,2007,6300,163000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,md
chevrolet,impala,2004,3500,150000,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,grey,sd
ford,focus,2007,2795,121000,good,automatic,4 cylinders,gas,salvage,fwd,mid-size,wagon,grey,sd
ford,focus,2007,3995,95000,good,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,silver,sd
chevrolet,impala,2006,3500,144800,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,silver,sd
chevrolet,camaro,2012,15950,42944,excellent,automatic,6 cylinders,gas,clean,rwd,full-size,coupe,white,sd
cadillac,cts,2003,4500,74000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,SUV,black,ia
cadillac,srx,2008,4950,155000,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,grey,ia
chevrolet,impala,2016,15995,66000,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,sd
ford,focus,2014,5900,47000,good,automatic,4 cylinders,gas,salvage,fwd,mid-size,sedan,silver,sd
bmw,328xi,2007,3995,186,good,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,black,tn
bmw,328xi,2011,5995,112590,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,silver,ca
ford,mustang,2014,25000,4400,like new,manual,8 cylinders,gas,clean,rwd,mid-size,coupe,grey,tn
chevrolet,traverse_ltz,2012,11950,107268,good,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,black,al
chevrolet,impala,2013,6950,126229,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,al
chevrolet,impala,2016,14495,37372,excellent,automatic,6 cylinders,other,clean,fwd,mid-size,sedan,white,or
ford,focus,2014,5500,84000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,hatchback,white,al
ford,flex,2009,7495,148224,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,wagon,white,or
audi,a4,2009,2500,112000,good,automatic,4 cylinders,gas,clean,4wd,mid-size,sedan,white,fl
bmw,328xi,2012,11995,60495,excellent,automatic,4 cylinders,gas,clean,rwd,full-size,sedan,blue,az
chevrolet,impala,2017,10999,55500,like new,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,silver,ia
ford,transit,2017,26800,69697,excellent,automatic,6 cylinders,other,clean,rwd,mid-size,van,white,or
ford,mustang,2000,2500,216000,fair,automatic,6 cylinders,gas,clean,rwd,sub-compact,coupe,black,fl
audi,a4,2013,14495,42897,excellent,automatic,4 cylinders,gas,clean,4wd,mid-size,sedan,black,az
ford,mustang,2010,6995,129000,excellent,manual,6 cylinders,gas,clean,rwd,mid-size,coupe,silver,fl
ford,taurus_sel,2011,12900,171000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,black,md
audi,a4,2008,4775,127000,good,automatic,4 cylinders,gas,clean,4wd,compact,sedan,black,fl
cadillac,cts,2008,13000,77000,excellent,automatic,6 cylinders,gas,salvage,rwd,mid-size,SUV,grey,nc
bmw,328xi,2014,13995,87112,excellent,automatic,4 cylinders,diesel,clean,4wd,mid-size,sedan,black,or
cadillac,cts,2013,19000,63647,excellent,automatic,8 cylinders,gas,clean,rwd,mid-size,wagon,white,or
ford,flex,2017,17500,42926,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,wagon,white,tn
bmw,328xi,2007,5500,155000,excellent,automatic,6 cylinders,gas,clean,rwd,compact,sedan,black,tn
bmw,335i,2008,8500,105,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,or
ford,focus,2014,5900,47000,good,automatic,4 cylinders,gas,salvage,fwd,mid-size,sedan,silver,sd
chevrolet,impala,2006,3000,151000,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,red,fl
chevrolet,trailblazer_lt,2006,5800,127400,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,SUV,brown,nc
chevrolet,impala,2010,2500,170000,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,white,fl
chevrolet,trailblazer_lt,2005,2200,247000,good,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,grey,fl
bmw,325i,2006,4950,126000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,convertible,silver,tn
chevrolet,camaro,2019,24995,23665,like new,automatic,6 cylinders,gas,clean,rwd,mid-size,coupe,black,ca
